Local: ,25-Mar-21,01:12:38 AM,tz_sec ,-18000
9780.594,27,55,-173,183.529289216
9800.469,28,44,-173,180.690342852
9820.344,33,41,-172,179.872176837
9840.188,28,51,-189,197.752370403
9860.031,38,48,-186,195.816240389
9879.875,63,49,-175,192.340843296
9899.719,49,41,-169,180.673739099
9919.719,23,41,-193,198.64289567
9939.594,36,56,-183,194.733150747
9959.469,58,46,-164,179.933320983
9979.344,63,51,-158,177.578151809
9999.25,36,49,-160,171.163664368
10019.125,27,48,-181,189.193023127
10039,29,48,-189,197.144616969
10058.875,24,48,-174,182.087890866
10078.812,28,54,-173,183.382114722
10098.688,35,44,-180,188.576244527
10118.562,36,49,-178,188.098378515
10138.438,32,48,-179,188.066477608
10158.5,28,49,-189,197.24603925
10178.406,31,50,-183,192.223827867
10198.312,44,48,-183,194.239542833
10218.219,33,48,-177,186.338401839
10238.156,43,55,-175,188.411783071
10258.062,39,43,-178,187.227134786
10277.969,32,49,-165,175.071414
10297.875,35,48,-173,182.915280936
10317.812,31,44,-175,183.090141734
10337.719,15,47,-177,183.747108821
10357.625,28,51,-177,186.316934281
10377.531,38,49,-170,180.955795707
10397.5,30,68,-184,198.443946746
10417.406,40,54,-178,190.262975904
10437.312,28,48,-176,184.564351921
10457.219,39,48,-177,187.493999904
10477.125,49,49,-175,188.220615236
10497.031,38,51,-171,182.444512113
10516.938,40,43,-193,201.737453141
10536.844,44,46,-181,191.867141533
10556.844,28,51,-172,181.573676506
10576.75,44,54,-165,179.100530429
10596.656,28,48,-186,194.123671921
10616.562,28,51,-184,192.979273498
10636.531,31,51,-176,185.844020619
10656.438,36,44,-173,182.101619982
10676.344,44,49,-177,188.854441303
10696.25,38,49,-182,192.273243068
10716.156,35,47,-177,186.448384278
10736.062,31,43,-181,188.602757138
10755.969,39,45,-188,197.205476597
10775.875,39,48,-189,198.86176103
10795.812,38,44,-194,202.524072643
10815.719,30,51,-185,194.231820256
10835.625,44,56,-161,176.04828883
10855.531,48,51,-157,171.912768578
10875.5,44,60,-185,199.401604808
10895.406,22,67,-173,186.820769723
10915.312,71,62,-173,197.012689947
10935.219,78,63,-165,193.075114916
10955.156,79,59,-151,180.341343014
10975.062,88,56,-169,198.597583067
10994.969,67,49,-176,194.591880612
11014.875,84,48,-175,199.962496484
11034.812,56,47,-185,198.922095304
11054.719,59,51,-180,196.168295094
11074.625,45,48,-174,186.024191975
11094.531,55,43,-153,168.175503567
11114.469,59,55,-170,188.164821367
11134.375,55,59,-170,188.164821367
11154.281,52,56,-176,191.874959283
11174.188,54,60,-196,211.971696224
11194.156,59,56,-175,192.981864433
11214.062,56,56,-173,190.265603828
11233.969,39,60,-164,178.932948335
11253.875,47,51,-180,192.89893727
11273.781,36,48,-178,187.840357751
11293.688,46,51,-185,197.337274735
11313.594,48,49,-185,197.306867595
11333.5,41,45,-185,194.758825217
11353.469,33,47,-178,187.034756128
11373.375,46,49,-177,189.330399038
